topic,keywords,tickets
6,"payment, phone, cx, pair, deducted, device, order, checked, shows, refund",595
1,"cancel, cancelled, button, cancel button, button greyed, greyed, tried cancel, cancel order, tried, cancelled dispatch",227
3,"delivered, order delivered, tracking, courier, confirmed, delivery, received, order, transit, lost transit",225
2,"address, updated, courier, pincode, wrong pincode, updated address, change, address updated, redirect, wrong",176
5,"reference, placed, writing, reference order, writing reference, request, madam, sir madam, dear sir, sir",153
8,"rto return, return, shipment, shipment status, rto, shipped, status, shipped advised, advised rto, checked shipment",152
4,"query, shared, compatibility, query shared, query answered, answered, shared spec, spec, spec sheet, sheet",113
7,"old flat, houses, moved, going old, going, moved houses, yesterday, old, houses yesterday, order going",50
